field_id,date,crop_type,variety,crop_age_days,growth_stage,soil_moisture,soil_temperature,soil_ph,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,wind_speed,solar_radiation,irrigation_amount,fertilizer_amount,disease_score,pest_count,ndvi
F-001,2026-09-01,Cotton,Deltapine DP1646,69,Grain/Pod Filling,8.0,24.7,6.11,123.8,42.9,126.5,26.5,86.5,3.9,18.1,22.3,0.0,0.0,6.8,2,0.663
F-002,2026-09-01,Rice,Diamond Long-Grain,83,Maturity,36.7,24.8,6.05,88.1,46.3,155.3,26.9,65.1,0.0,18.7,24.7,0.0,0.0,57.3,3,0.69
F-003,2026-09-01,Soybean,Brevant B281EE,96,Maturity,39.0,17.0,5.86,23.5,40.5,138.7,19.8,86.2,5.7,23.9,20.5,0.0,0.0,60.0,10,0.665
F-004,2026-09-01,Soybean,Asgrow AG36X6,85,Maturity,40.5,22.0,5.82,35.2,18.2,160.3,24.5,60.3,0.0,18.8,24.2,29.9,0.0,6.0,2,0.773
F-005,2026-09-01,Corn,Dekalb DKC64-35,56,Grain/Pod Filling,25.7,20.7,7.34,72.6,31.7,172.2,24.5,87.1,10.1,8.6,22.2,0.0,0.0,3.9,7,0.775
F-006,2026-09-01,Wheat,WB9719,61,Grain/Pod Filling,8.0,24.3,5.95,116.1,30.9,169.6,27.6,70.7,0.0,16.2,18.2,0.0,0.0,7.0,8,0.68
F-007,2026-09-01,Corn,Dekalb DKC64-35,67,Grain/Pod Filling,32.9,23.0,6.14,44.1,45.9,108.8,24.4,59.1,0.0,18.0,17.1,0.0,0.0,7.2,2,0.795
F-008,2026-09-01,Corn,Dekalb DKC64-35,75,Maturity,77.8,23.1,7.3,98.1,59.5,182.8,26.5,72.6,1.5,14.1,18.7,0.0,0.0,5.8,2,0.763
F-009,2026-09-01,Cotton,PhytoGen PHY400,98,Maturity,45.8,23.3,6.47,88.9,36.0,193.2,25.4,67.8,0.0,20.1,21.4,0.0,0.0,6.3,13,0.771
F-010,2026-09-01,Cotton,Deltapine DP1646,70,Grain/Pod Filling,64.4,25.4,6.96,36.0,47.3,73.3,26.7,93.0,1.6,18.0,17.5,33.9,0.0,9.5,2,0.787
F-011,2026-09-01,Corn,Dekalb DKC64-35,86,Maturity,44.6,24.2,6.61,29.3,44.2,180.4,24.9,57.5,0.0,16.4,32.0,33.6,0.0,2.7,7,0.79
F-012,2026-09-01,Rice,Jupiter Medium,84,Maturity,50.3,26.8,5.92,75.0,58.1,82.2,29.3,86.1,0.0,8.2,21.6,0.0,0.0,3.8,4,0.773
F-013,2026-09-01,Rice,Jupiter Medium,83,Maturity,63.1,17.1,6.82,137.2,12.7,129.1,18.4,67.6,0.0,14.8,22.2,0.0,0.0,4.7,3,0.769
F-014,2026-09-01,Soybean,Asgrow AG36X6,87,Maturity,43.7,26.2,7.04,76.8,14.2,200.6,28.8,65.3,0.0,9.2,24.4,0.0,0.0,5.9,15,0.791
F-015,2026-09-01,Soybean,Brevant B281EE,50,Grain/Pod Filling,40.7,25.1,5.96,48.5,25.7,162.3,27.6,78.4,0.0,5.7,28.5,0.0,0.0,56.7,18,0.668
F-016,2026-09-01,Soybean,Asgrow AG36X6,80,Maturity,37.7,21.8,6.24,38.7,20.0,68.6,23.3,58.1,0.0,14.1,25.6,16.5,0.0,68.1,17,0.677
F-017,2026-09-01,Corn,NK Corn N78N,69,Grain/Pod Filling,37.6,17.2,6.8,119.7,24.4,139.0,19.2,90.9,1.6,21.6,22.8,0.0,0.0,8.9,8,0.708
F-018,2026-09-01,Wheat,SY Monument,92,Maturity,35.0,25.6,6.03,104.0,31.6,133.3,26.3,63.2,0.0,12.5,19.1,0.0,0.0,7.0,10,0.785
F-019,2026-09-01,Cotton,Stoneville ST4990,60,Grain/Pod Filling,41.8,20.5,6.82,95.2,19.2,86.9,20.9,89.6,3.7,8.2,13.5,0.0,0.0,5.5,14,0.74
F-020,2026-09-01,Rice,Diamond Long-Grain,92,Maturity,38.9,25.2,6.33,53.7,16.9,72.9,26.6,80.7,0.0,6.0,17.6,0.0,0.0,4.5,5,0.801
F-021,2026-09-01,Rice,Titan Hybrid,95,Maturity,64.3,27.0,7.39,120.3,25.7,200.7,29.5,69.2,0.0,14.6,22.2,0.0,0.0,7.3,2,0.79
F-022,2026-09-01,Soybean,Brevant B281EE,53,Grain/Pod Filling,8.0,22.2,6.33,123.9,33.3,140.3,24.0,61.1,0.0,17.5,19.0,0.0,0.0,6.4,2,0.707
F-023,2026-09-01,Cotton,Stoneville ST4990,72,Grain/Pod Filling,49.5,25.6,6.1,129.9,40.2,87.6,27.2,70.2,1.9,15.4,24.7,0.0,0.0,7.1,5,0.785
F-024,2026-09-01,Rice,Diamond Long-Grain,95,Maturity,50.4,27.5,6.21,67.4,58.9,154.4,27.8,60.9,0.0,18.1,19.6,0.0,0.0,3.6,2,0.767
F-025,2026-09-01,Corn,NK Corn N78N,58,Grain/Pod Filling,8.0,26.6,7.04,124.3,37.0,188.2,28.2,68.8,0.0,11.3,25.7,0.0,0.0,5.9,29,0.643
F-026,2026-09-01,Cotton,Stoneville ST4990,62,Grain/Pod Filling,56.6,21.2,6.57,54.8,22.1,110.6,22.3,61.0,0.0,13.2,21.9,28.9,0.0,3.4,17,0.797
F-027,2026-09-01,Cotton,Deltapine DP1646,94,Maturity,30.1,23.9,6.9,140.8,21.9,155.2,26.1,85.0,12.5,11.1,15.2,0.0,0.0,6.6,2,0.732
F-028,2026-09-01,Soybean,Asgrow AG36X6,72,Grain/Pod Filling,33.3,19.0,6.72,50.2,40.1,161.8,22.5,84.3,4.3,17.8,20.1,0.0,0.0,66.3,2,0.67
F-029,2026-09-01,Corn,NK Corn N78N,83,Maturity,40.9,26.2,5.99,142.4,20.4,154.8,28.8,74.2,0.0,8.7,20.5,0.0,0.0,56.0,2,0.708
F-030,2026-09-01,Wheat,LCS Sonic,44,Flowering,11.0,21.4,6.31,81.3,53.4,144.3,24.0,98.0,11.6,18.9,29.4,0.0,0.0,3.9,2,0.69
F-031,2026-09-01,Wheat,SY Monument,57,Grain/Pod Filling,35.8,25.8,5.89,32.1,50.2,142.2,26.7,77.0,0.0,13.4,21.2,0.0,0.0,5.2,13,0.793
F-032,2026-09-01,Rice,Diamond Long-Grain,68,Grain/Pod Filling,8.0,24.0,6.62,34.0,41.2,135.2,26.7,58.4,0.0,12.7,21.3,0.0,0.0,3.8,15,0.66
F-033,2026-09-01,Rice,Jupiter Medium,90,Maturity,32.7,19.4,6.57,32.6,49.2,175.0,22.4,85.1,4.1,10.7,23.4,0.0,0.0,4.7,17,0.777
