field_id,date,crop_type,variety,crop_age_days,growth_stage,soil_moisture,soil_temperature,soil_ph,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,wind_speed,solar_radiation,irrigation_amount,fertilizer_amount,disease_score,pest_count,ndvi,actual_yield
F-001,2026-08-18,Cotton,Deltapine DP1646,55,Grain/Pod Filling,36.2,21.0,6.06,129.4,44.3,128.6,24.4,75.7,15.4,14.1,14.1,0.0,0.0,4.9,9,0.767,2.11
F-001,2026-08-19,Cotton,Deltapine DP1646,56,Grain/Pod Filling,39.1,24.1,6.17,129.0,44.2,128.5,25.1,98.0,11.2,16.0,15.1,0.0,0.0,5.1,11,0.766,2.25
F-001,2026-08-20,Cotton,Deltapine DP1646,57,Grain/Pod Filling,29.7,23.7,6.04,128.6,44.1,128.3,24.7,68.8,0.0,16.8,19.2,0.0,0.0,4.9,10,0.763,1.97
F-001,2026-08-21,Cotton,Deltapine DP1646,58,Grain/Pod Filling,20.7,19.4,6.08,128.2,44.0,128.2,20.5,72.7,0.0,11.3,23.4,0.0,0.0,5.1,6,0.719,1.85
F-001,2026-08-22,Cotton,Deltapine DP1646,59,Grain/Pod Filling,18.3,17.8,6.08,127.8,43.9,128.0,17.5,77.0,2.7,18.7,23.6,0.0,0.0,5.2,3,0.69,1.72
F-001,2026-08-23,Cotton,Deltapine DP1646,60,Grain/Pod Filling,12.5,22.1,6.13,127.4,43.8,127.9,24.6,76.8,0.0,9.5,21.7,0.0,0.0,5.3,2,0.684,1.69
F-001,2026-08-24,Cotton,Deltapine DP1646,61,Grain/Pod Filling,9.3,22.6,6.17,127.0,43.7,127.7,23.8,68.3,0.0,14.8,21.5,0.0,0.0,4.8,2,0.681,1.56
F-001,2026-08-25,Cotton,Deltapine DP1646,62,Grain/Pod Filling,8.0,23.3,6.08,126.6,43.6,127.6,24.2,56.9,0.0,11.5,24.0,0.0,0.0,5.0,2,0.686,1.54
F-001,2026-08-26,Cotton,Deltapine DP1646,63,Grain/Pod Filling,8.0,22.1,6.07,126.2,43.5,127.4,23.3,61.4,0.0,12.7,23.8,0.0,0.0,4.4,3,0.627,1.42
F-001,2026-08-27,Cotton,Deltapine DP1646,64,Grain/Pod Filling,8.0,23.9,6.04,125.8,43.4,127.3,25.0,69.5,0.0,13.2,29.5,0.0,0.0,4.6,2,0.679,1.54
F-001,2026-08-28,Cotton,Deltapine DP1646,65,Grain/Pod Filling,8.0,21.8,6.13,182.6,60.5,138.6,23.3,69.6,0.0,11.8,21.7,0.0,57.3,5.1,2,0.687,1.54
F-001,2026-08-29,Cotton,Deltapine DP1646,66,Grain/Pod Filling,8.0,20.3,6.11,125.0,43.2,127.0,22.0,57.2,0.0,17.9,27.6,0.0,0.0,5.4,5,0.72,1.53
F-001,2026-08-30,Cotton,Deltapine DP1646,67,Grain/Pod Filling,8.0,30.2,6.05,124.6,43.1,126.8,32.8,65.8,0.0,8.5,19.3,0.0,0.0,5.7,4,0.655,1.36
F-001,2026-08-31,Cotton,Deltapine DP1646,68,Grain/Pod Filling,8.0,27.3,6.1,124.2,43.0,126.7,31.4,57.2,0.0,12.4,20.6,0.0,0.0,6.2,2,0.688,1.47
F-001,2026-09-01,Cotton,Deltapine DP1646,69,Grain/Pod Filling,8.0,24.7,6.11,123.8,42.9,126.5,26.5,86.5,3.9,18.1,22.3,0.0,0.0,6.8,2,0.663,1.35
F-002,2026-08-18,Rice,Diamond Long-Grain,69,Grain/Pod Filling,50.5,22.1,6.08,93.7,47.7,157.4,23.5,76.6,0.0,9.9,23.7,0.0,0.0,30.9,7,0.777,6.07
F-002,2026-08-19,Rice,Diamond Long-Grain,70,Grain/Pod Filling,44.1,19.6,6.01,93.3,47.6,157.3,20.8,64.9,0.0,16.1,14.3,0.0,0.0,31.8,9,0.699,5.36
F-002,2026-08-20,Rice,Diamond Long-Grain,71,Grain/Pod Filling,65.7,24.0,6.05,92.9,47.5,157.1,26.4,85.4,33.9,13.3,8.0,0.0,0.0,35.7,7,0.703,5.35
F-002,2026-08-21,Rice,Diamond Long-Grain,72,Grain/Pod Filling,59.1,18.9,6.1,92.5,47.4,157.0,19.9,51.6,0.0,5.9,24.5,0.0,0.0,36.2,9,0.74,5.17
F-002,2026-08-22,Rice,Diamond Long-Grain,73,Grain/Pod Filling,52.4,27.7,6.05,92.1,47.3,156.8,29.7,55.4,0.0,20.9,24.1,0.0,0.0,37.3,9,0.693,5.49
