field_id,date,crop_type,variety,crop_age_days,growth_stage,soil_moisture,soil_temperature,soil_ph,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,wind_speed,solar_radiation,irrigation_amount,fertilizer_amount,disease_score,pest_count,ndvi
F-001,2026-09-01,Soybean,Pioneer P31T77E,75,Maturity,20.303529976546553,21.6,7.23,115.4,47.6,87.7,36.928084931253856,67.0,0.0,21.2,24.1,0.0,0.0,69.13791802579101,2,0.4568413486461551
F-002,2026-09-01,Rice,Titan Hybrid,91,Maturity,14.868322325175996,21.4,6.0,56.9,58.6,120.4,38.98821285459703,85.7,1.9,20.4,24.7,0.0,0.0,47.77977376547562,5,0.4640265583069052
F-003,2026-09-01,Rice,Titan Hybrid,83,Maturity,21.834331362868685,23.5,5.88,33.0,23.2,148.0,37.69457891468859,74.3,0.0,7.0,17.0,0.0,0.0,84.38684379508268,2,0.4805292094836563
F-004,2026-09-01,Corn,NK Corn N78N,91,Maturity,11.52977183357901,17.6,5.9,65.9,35.9,112.7,41.07157347293021,71.5,0.0,18.0,24.4,0.0,0.0,49.57204215310165,4,0.49635410638852384
F-005,2026-09-01,Wheat,LCS Sonic,46,Flowering,21.34564023294334,26.9,5.9,110.2,47.8,143.7,39.345937939854565,73.4,0.0,10.0,18.6,31.1,0.0,58.04487000348384,8,0.5099545292853711
F-006,2026-09-01,Corn,Dekalb DKC64-35,77,Maturity,17.747568696508623,28.2,6.56,90.2,40.1,150.4,41.58235318572688,71.0,0.0,12.7,23.1,0.0,0.0,57.17318869929081,2,0.4142293683452803
F-007,2026-09-01,Soybean,Brevant B281EE,78,Maturity,19.78864039399313,19.9,7.21,22.2,60.1,182.8,36.72762023591084,92.4,13.4,17.1,8.0,0.0,0.0,71.12375917639106,8,0.430877141070574
F-008,2026-09-01,Cotton,PhytoGen PHY400,62,Grain/Pod Filling,11.974169854396756,23.2,6.03,118.0,15.7,171.1,35.24132529425971,75.4,0.0,17.1,21.2,0.0,0.0,76.4331730208241,2,0.5304800023219755
F-009,2026-09-01,Wheat,LCS Sonic,47,Flowering,12.68608241283793,26.6,7.39,52.0,57.9,137.7,40.7794729339512,70.3,0.0,16.3,32.0,0.0,0.0,66.05769353576052,12,0.44198052345801436
F-010,2026-09-01,Cotton,PhytoGen PHY400,72,Grain/Pod Filling,13.022697081439846,25.2,6.78,29.3,27.2,164.9,37.85890409989317,60.0,0.0,11.2,27.3,0.0,0.0,51.384237069798914,2,0.3859954342267308
